pole_id,lon,lat,x_5179,y_5179,grid_ix,grid_iy,grid_id,pole_count,pole_density,grid_final_risk_score,grid_final_risk_score_100,grid_final_risk_grade,risk_mean,risk_max,risk_p95,risk_p90,high_day_count,very_high_day_count,high_day_ratio,peak_date,peak_grid_risk_score_100,peak_dry_weather_score,peak_wind_score,peak_asset_exposure_score,peak_warning_score,peak_temp_max,peak_humidity_min,peak_rain_sum,peak_rain_sum_7d,peak_wind_max,peak_wind_max_7d,peak_no_rain_days,peak_dry_warning_flag,peak_strong_wind_warning_flag,pole_risk_score,pole_risk_score_100,pole_risk_rank,pole_risk_percentile
1326383,128.41480953169736,38.093975874106434,1080216.0517681919,2010822.0068918287,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,11,7.92603710394133e-06
1326384,128.41538001651392,38.09393363866828,1080266.122561352,2010817.8135282074,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,12,8.64658593157236e-06
1326385,128.41592702275815,38.093937404396286,1080314.0842810662,2010818.7043288103,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,13,9.36713475920339e-06
1326386,128.41618892877796,38.09369401002194,1080337.3167257798,2010791.924507568,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,14,1.008768358683442e-05
1326387,128.41562918909707,38.09363937659162,1080288.2939270171,2010785.3784216717,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,15,1.080823241446545e-05
1326388,128.41504436066455,38.093683151803965,1080236.963470441,2010789.7301073312,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,16,1.152878124209648e-05
1326389,128.41448858795965,38.093666471630144,1080188.2469795484,2010787.3992420644,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,17,1.224933006972751e-05
1326390,128.41391217626276,38.09361989401825,1080137.7533192604,2010781.7335194128,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,18,1.296987889735854e-05
1326391,128.413350369737,38.09361479418744,1080088.4950339664,2010780.6829679306,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,19,1.369042772498957e-05
1326392,128.41279149056007,38.09354802723,1080039.5606958612,2010772.792823239,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,20,1.44109765526206e-05
