grid_id,pole_count,pole_density,center_lon,center_lat,risk_mean,risk_max,risk_p95,risk_p90,risk_std,date_count,high_day_count,very_high_day_count,dry_weather_mean,wind_mean,asset_exposure_mean,warning_mean,high_day_ratio,very_high_day_ratio,grid_final_risk_score,grid_final_risk_score_100,peak_date,peak_grid_risk_score,peak_grid_risk_score_100,peak_dry_weather_score,peak_wind_score,peak_asset_exposure_score,peak_warning_score,peak_temp_max,peak_humidity_min,peak_rain_sum,peak_rain_sum_7d,peak_wind_max,peak_wind_max_7d,peak_no_rain_days,peak_dry_warning_flag,peak_strong_wind_warning_flag,grid_final_risk_grade,sw_lon,sw_lat,ne_lon,ne_lat
1099_1905,217,217.0,128.62035921242298,37.14292403344885,0.5365268929319597,0.734981820056107,0.6750794691803059,0.6548031688752627,0.09000025889386909,31,6,1,0.6116935483870968,0.5075588453674998,0.8170950760319173,0.010271646859083192,0.1935483870967742,0.03225806451612903,0.6201816685288138,62.018,2025-03-25,0.734981820056107,73.498,0.8352272727272727,0.9388349514563107,0.8170950760319173,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.61466411298892,37.138470858470335,128.62605497942528,37.14737692036235
1123_1917,136,136.0,128.89251606945663,37.24819969718731,0.5126139795314159,0.7104401297334552,0.7036281751790405,0.6250698822139653,0.10807099919531399,31,7,3,0.5511608015640274,0.5796065480316844,0.7285363743451069,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.620027347786947,62.003,2025-03-25,0.7104401297334552,71.044,0.7799242424242425,1.0,0.7285363743451069,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.88679728016902,37.24376015340914,128.89823552951194,37.252638947693185
1126_1912,136,136.0,128.92548446504682,37.20274066891329,0.5126139795314159,0.7104401297334552,0.7036281751790405,0.6250698822139653,0.10807099919531399,31,7,3,0.5511608015640274,0.5796065480316844,0.7285363743451069,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.620027347786947,62.003,2025-03-25,0.7104401297334552,71.044,0.7799242424242425,1.0,0.7285363743451069,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.91976731343726,37.198302653299116,128.9312022858821,37.207178391204586
1098_1926,216,216.0,128.6118778465476,37.332289689252875,0.5363515840966007,0.734806511220748,0.674904160344947,0.6546278600399037,0.09000025889386908,31,6,1,0.6116935483870968,0.5075588453674998,0.8162185318551224,0.010271646859083192,0.1935483870967742,0.03225806451612903,0.6200238905769909,62.002,2025-03-25,0.734806511220748,73.481,0.8352272727272727,0.9388349514563107,0.8162185318551224,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.60616868564284,37.327836470453235,128.6175876813002,37.336742618240194
1082_1910,216,216.0,128.4295181457142,37.189643659152054,0.5363515840966007,0.734806511220748,0.674904160344947,0.6546278600399037,0.09000025889386908,31,6,1,0.6116935483870968,0.5075588453674998,0.8162185318551224,0.010271646859083192,0.1935483870967742,0.03225806451612903,0.6200238905769909,62.002,2025-03-25,0.734806511220748,73.481,0.8352272727272727,0.9388349514563107,0.8162185318551224,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.42383047240963,37.18518123585302,128.43520648828826,37.194105796847516
1083_1956,269,269.0,128.4459804034752,37.60413430023711,0.5251516199253519,0.705834694764949,0.6825930231702318,0.6632267704598039,0.10592534644055247,31,9,1,0.6067448680351906,0.43734785010750343,0.8578798157776863,0.010271646859083192,0.2903225806451613,0.03225806451612903,0.6200122833268998,62.001,2025-03-25,0.705834694764949,70.583,0.7848484848484849,0.8702247191011236,0.8578798157776863,0.018421052631578946,19.1,23.0,0.0,0.0,8.4,13.4,7,0,0,high,128.44025983247943,37.59967341975045,128.45170165757355,37.60859489075555
1071_1954,268,268.0,128.30984923521146,37.5871204490646,0.5250101370004132,0.7056932118400103,0.6824515402452932,0.6630852875348653,0.10592534644055247,31,9,1,0.6067448680351906,0.43734785010750343,0.8571724011529929,0.010271646859083192,0.2903225806451613,0.03225806451612903,0.619884948694455,61.988,2025-03-25,0.7056932118400103,70.569,0.7848484848484849,0.8702247191011236,0.8571724011529929,0.018421052631578946,19.1,23.0,0.0,0.0,8.4,13.4,7,0,0,high,128.30413798824517,37.58265284417665,128.3155611648055,37.59158776625285
1108_1910,215,215.0,128.722403676345,37.186983559343055,0.53617546551779,0.7346303926419374,0.6747280417661363,0.6544517414610931,0.09000025889386909,31,6,1,0.6116935483870968,0.5075588453674998,0.8153379389610692,0.010271646859083192,0.1935483870967742,0.03225806451612903,0.6198653838560613,61.987,2025-03-25,0.7346303926419374,73.463,0.8352272727272727,0.9388349514563107,0.8153379389610692,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.71669934591785,37.18253548584561,128.7281086756967,37.19143134277805
1120_1971,269,269.0,128.86754327746698,37.73519319084193,0.5221729233895501,0.7008976676816363,0.6795136682046272,0.6682919907936797,0.12533963804003392,31,10,1,0.5467741935483871,0.5213861431431819,0.8578798157776863,0.010271646859083192,0.3225806451612903,0.03225806451612903,0.6198366167542312,61.984,2025-03-25,0.7008976676816363,70.09,0.7268939393939394,0.9432038834951457,0.8578798157776863,0.018421052631578946,20.3,39.0,0.0,0.0,11.6,11.6,7,0,0,high,128.8617877672112,37.730753500924074,128.87329947485753,37.739632582984655
1122_1918,135,135.0,128.88140818827836,37.25734316645663,0.5123346405199903,0.7101607907220296,0.703348836167615,0.6247905432025397,0.10807099919531402,31,7,3,0.5511608015640274,0.5796065480316844,0.7271396792879788,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.619775942676664,61.978,2025-03-25,0.7101607907220296,71.016,0.7799242424242425,1.0,0.7271396792879788,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.8756893256231,37.25290309347027,128.88712772201683,37.26178294624932
