grid_id,pole_count,pole_density,center_lon,center_lat,sw_lon,sw_lat,ne_lon,ne_lat
1123_1972,689,689.0,128.90175068814682,37.74380392340337,128.89599250377574,37.739365964181886,128.90750955990563,37.748241584236546
1141_1950,689,689.0,129.10172279374305,37.54297962042602,129.09596895767172,37.538551198217185,129.10747731016193,37.54740774320502
1115_1987,686,686.0,128.8133641100895,37.880011005847926,128.80760025396566,37.87556892399993,128.81912865834926,37.88445278929131
1021_1983,684,684.0,127.74438844620313,37.85103167076582,127.73869051222259,37.84653680158713,127.75008707202977,37.85552625838292
1021_1987,683,683.0,127.74450755380211,37.887083746701535,127.73880682402913,37.88258892027826,127.75020897665625,37.89157829120436
1098_2009,682,682.0,128.62310972389508,38.08025513045136,128.61734109732615,38.075803939170264,128.6288790496913,38.08470602423922
1036_1966,681,681.0,127.91403341054831,37.69733321164467,127.90833713736019,37.692846419871,127.91973037029645,37.70181972074491
1032_1964,678,678.0,127.86857157885528,37.67945741144924,127.86287940185206,37.67496838827494,127.87426444182682,37.683946152831275
1117_1985,676,676.0,128.83577524669275,37.86173383630683,128.830011534102,37.85729283700351,128.8415396507688,37.86617453704501
1040_1924,666,666.0,127.95709151003472,37.31860382013459,127.95142161331039,37.31411864985009,127.96276208057328,37.32308871081007
1023_1982,659,659.0,127.76708952718343,37.84196925903961,127.76139092217547,37.83747548377813,127.77278882372252,37.84646275247639
1038_1964,657,657.0,127.93661389121719,37.67922514188575,127.93091766359721,37.67473942688676,127.9423108047747,37.683710574040624
1116_1989,657,657.0,128.8250554253092,37.89790492189609,128.81928945633302,37.89346346478716,128.83082208702132,37.90234608023885
1024_1992,655,655.0,127.77879453762019,37.9320726029976,127.77308824358447,37.92757949256041,127.7845015262741,37.93656543053482
1095_2023,653,653.0,128.5907860404387,38.20673164767501,128.58500918376674,38.20227908409356,128.59656360076207,38.21118391298005
1028_1923,649,649.0,127.82162094425908,37.310035658802164,127.81595969161451,37.3055439472579,127.8272828704761,37.314527092910325
1023_1957,647,647.0,127.76628145757682,37.61663881732142,127.76060022112844,37.61214476653324,127.77196337789344,37.62113258852179
1021_1992,637,637.0,127.74465673738926,37.93214852986998,127.73895250585119,37.927653756923505,127.75036166355576,37.93664302044689
1042_1942,637,637.0,127.98069841484585,37.48075752655165,127.97501479045286,37.47627370453881,127.9863827184634,37.48524106699773
1034_1965,634,634.0,127.89129978130187,37.68839752429766,127.88560555634174,37.683909616121205,127.89699469252635,37.69288515024131
1031_1967,632,632.0,127.85736086497259,37.70653189313539,127.85166727641123,37.70204235650611,127.86305514042462,37.71102114787863
1099_2012,630,630.0,128.6349278059807,38.107178574425724,128.62915631926552,38.102728027905634,128.64069999284456,38.11162882299641
1038_1929,624,624.0,127.93477943659899,37.36375710495081,127.92910743386832,37.35927091267902,127.9404521146566,37.36824301751475
1151_1934,623,623.0,129.21158296720267,37.39723541082556,129.20583434672528,37.392812121443235,129.21733226299565,37.40165840056724
1019_1992,621,621.0,127.72189813625761,37.932193645975715,127.71619528128267,37.92769776556659,127.72760168586697,37.93668924436899
1124_1967,621,621.0,128.9122419834943,37.69861550163474,128.90648677267356,37.69417796447575,128.9179978801561,37.70305274070049
1118_1982,620,620.0,128.84664887675893,37.834572421514736,128.84088669126237,37.830131906939734,128.8524117528,37.839012637631924
1041_1924,617,617.0,127.96837737982698,37.31855968662064,127.96270682158912,37.31407506156854,127.97404861187331,37.3230440318902
1113_1992,616,616.0,128.79141443285027,37.92531627878598,128.7856482508939,37.92087319541156,128.79718130852012,37.929759063635544
1039_1925,615,615.0,127.94585886533042,37.32766054071752,127.94018894475182,37.323174839136236,127.95152946002891,37.33214596277415
1141_1951,614,614.0,129.1019156449207,37.551989682859016,129.09616108556207,37.5475612927484,129.10767088492966,37.556417773445936
1040_1948,612,612.0,127.95840857926615,37.53492758612398,127.9527221346415,37.53044275104185,127.96409570494477,37.539412139449894
1152_1932,607,607.0,129.22246347594208,37.379051853432614,129.21671566738044,37.374629061552504,129.22821195919752,37.383474345689095
1120_1982,606,606.0,128.86937121029044,37.83431037536318,128.86360771736088,37.82987099843858,128.87513539372958,37.83874945348256
1030_1954,604,604.0,127.84547310002384,37.58939314712702,127.83978921172573,37.584902900167705,127.85115767124961,37.59388311354033
1025_1972,603,603.0,127.78946838558849,37.75178454824987,127.78377538938328,37.747291764409326,127.7951620702416,37.756277050810226
